account_id,created_at,country,currency,kyc_level
ACC_000,2024-11-22 00:46:06.413517800,Nigeria,NGN,verified
ACC_001,2025-10-05 01:23:16.196830044,Kenya,KES,basic
ACC_002,2024-08-29 14:28:51.773719512,Nigeria,NGN,verified
ACC_003,2025-05-30 06:16:20.657897600,Nigeria,NGN,basic
ACC_004,2025-11-23 02:50:20.709962744,Nigeria,NGN,verified
ACC_005,2025-12-10 08:16:11.473186004,Ghana,GHS,basic
ACC_006,2025-05-06 12:30:54.408935288,South Africa,ZAR,basic
ACC_007,2024-08-10 04:06:07.827589656,Kenya,KES,verified
ACC_008,2025-05-29 15:48:40.919597520,South Africa,ZAR,basic
ACC_009,2025-11-26 00:14:55.129896768,South Africa,ZAR,basic
ACC_010,2026-03-12 15:28:00.444801042,Nigeria,NGN,basic
ACC_011,2024-05-25 00:19:03.470394144,South Africa,ZAR,basic
ACC_012,2024-09-04 11:12:01.057799104,Nigeria,NGN,basic
ACC_013,2026-03-24 18:39:06.710838458,South Africa,ZAR,verified
ACC_014,2024-12-10 05:18:27.254284360,South Africa,ZAR,verified
ACC_015,2025-12-16 01:00:51.247587390,Nigeria,NGN,basic
ACC_016,2024-11-03 00:49:18.869902360,South Africa,ZAR,basic
ACC_017,2024-05-18 04:57:57.546733440,Nigeria,NGN,basic
ACC_018,2025-10-02 11:54:40.201420596,South Africa,ZAR,basic
ACC_019,2025-07-14 06:37:17.063758164,Kenya,KES,verified
ACC_020,2025-10-12 01:30:11.072212244,Nigeria,NGN,verified
ACC_021,2024-11-25 21:39:12.032803368,Kenya,KES,basic
ACC_022,2025-04-25 04:00:24.395575328,South Africa,ZAR,verified
ACC_023,2024-10-10 15:10:41.908484720,Kenya,KES,verified
ACC_024,2025-08-23 04:58:35.419469088,Nigeria,NGN,basic
ACC_025,2024-06-16 08:45:42.613696224,South Africa,ZAR,basic
ACC_026,2025-10-11 09:34:13.834658376,Kenya,KES,verified
ACC_027,2024-04-29 21:26:38.253302424,South Africa,ZAR,basic
ACC_028,2024-11-08 02:26:26.407114456,Ghana,GHS,verified
ACC_029,2025-04-28 03:10:23.944710408,South Africa,ZAR,basic
ACC_030,2025-10-29 18:25:03.501658652,South Africa,ZAR,verified
ACC_031,2025-01-08 17:50:40.286876904,Ghana,GHS,basic
ACC_032,2025-11-22 12:34:57.175665332,Kenya,KES,verified
ACC_033,2025-03-28 23:23:21.723016208,Nigeria,NGN,basic
ACC_034,2026-01-19 08:40:23.707229912,Kenya,KES,verified
ACC_035,2025-05-30 01:17:59.615601352,Nigeria,NGN,basic
ACC_036,2025-07-04 07:47:21.471876640,Ghana,GHS,verified
ACC_037,2025-10-25 14:28:23.429207068,Nigeria,NGN,verified
ACC_038,2024-09-12 07:19:42.282332888,South Africa,ZAR,verified
ACC_039,2025-08-09 09:08:10.043202392,South Africa,ZAR,basic
ACC_040,2026-01-14 17:39:57.921419868,Nigeria,NGN,verified
ACC_041,2024-04-30 08:11:26.177651912,South Africa,ZAR,verified
ACC_042,2024-08-07 10:13:45.421654400,Nigeria,NGN,verified
ACC_043,2025-09-14 16:28:21.916389164,Kenya,KES,basic
ACC_044,2025-07-11 00:40:43.528428592,Kenya,KES,verified
ACC_045,2024-02-22 18:55:30.968381504,Nigeria,NGN,verified
ACC_046,2025-08-23 07:37:17.507072732,Nigeria,NGN,basic
ACC_047,2024-03-15 00:25:15.212621264,South Africa,ZAR,basic
ACC_048,2026-04-11 22:31:21.084964910,Nigeria,NGN,basic
ACC_049,2024-09-02 13:46:09.910719024,Nigeria,NGN,verified
ACC_050,2024-08-04 01:22:37.617852328,Kenya,KES,verified
ACC_051,2025-04-13 20:06:14.203074568,Kenya,KES,basic
ACC_052,2025-02-27 06:10:16.747344680,Ghana,GHS,basic
ACC_053,2024-03-15 04:17:10.558012368,Kenya,KES,verified
ACC_054,2025-09-03 03:21:49.815494324,South Africa,ZAR,basic
ACC_055,2024-04-09 16:03:28.485559080,Ghana,GHS,basic
ACC_056,2025-10-28 15:43:50.831953516,Nigeria,NGN,basic
ACC_057,2026-05-14 00:48:16.743789398,Kenya,KES,verified
ACC_058,2025-11-21 17:51:39.645545176,Nigeria,NGN,verified
