transaction_id,timestamp,sender_account,receiver_account,amount,currency,device_id,ip_address,payment_method
txn_000000,2026-07-01 08:00:00.000000000,ACC_020,ACC_HUB_SELLER,10686.81,NGN,dev_ACC_020,197.245.102.20,wallet
txn_000001,2026-07-01 11:12:14.512301345,ACC_050,ACC_003,6858.13,KES,dev_ACC_050,197.109.105.50,card
txn_000002,2026-07-01 16:36:32.344855118,ACC_059,ACC_013,15782.77,KES,dev_ACC_059,197.113.66.59,bank_transfer
txn_000003,2026-07-01 18:01:17.154021535,ACC_086,ACC_050,2416.1,GHS,dev_ACC_086,197.63.232.86,card
txn_000004,2026-07-01 18:41:57.968181997,ACC_022,ACC_014,11069.75,ZAR,dev_ACC_022,197.121.165.22,wallet
txn_000005,2026-07-01 19:43:21.265350153,ACC_072,ACC_062,34826.68,NGN,dev_ACC_072,197.80.225.72,ussd
txn_000006,2026-07-02 01:35:10.604987933,ACC_086,ACC_039,4235.15,GHS,dev_ACC_086,197.125.243.86,wallet
txn_000007,2026-07-02 03:22:46.553686469,ACC_075,ACC_069,602.34,GHS,dev_ACC_075,197.236.107.75,ussd
txn_000008,2026-07-02 04:00:00.000000000,ACC_009,ACC_HUB_SELLER,9206.64,ZAR,dev_ACC_009,197.59.157.09,ussd
txn_000009,2026-07-02 04:39:50.394220072,ACC_059,ACC_072,11330.66,KES,dev_ACC_059,197.166.93.59,ussd
txn_000010,2026-07-02 05:19:49.707985867,ACC_043,ACC_077,3426.09,KES,dev_ACC_043,197.139.230.43,ussd
txn_000011,2026-07-02 09:56:24.933853672,ACC_071,ACC_001,12377.19,KES,dev_ACC_071,197.189.75.71,ussd
txn_000012,2026-07-02 12:40:31.226141195,ACC_002,ACC_075,2680.86,NGN,dev_ACC_002,197.30.203.02,card
txn_000013,2026-07-02 15:53:37.029624186,ACC_084,ACC_085,3732.75,NGN,dev_ACC_084,197.204.169.84,ussd
txn_000014,2026-07-02 16:36:31.168670532,ACC_032,ACC_000,24342.74,KES,dev_ACC_032,197.176.32.32,wallet
txn_000015,2026-07-02 18:25:08.056766905,ACC_082,ACC_024,433.65,NGN,dev_ACC_082,197.169.139.82,wallet
txn_000016,2026-07-02 19:02:49.024663797,ACC_026,ACC_008,15091.78,KES,dev_ACC_026,197.22.205.26,ussd
